,Country,HDI.Rank,HDI,CPI,Region
154,Tanzania,152,0.466,3,Sub-Saharan Africa
155,Thailand,103,0.682,3.4,Asia & Oceania
156,Timor-Leste,147,0.495,2.4,Asia & Oceania
157,Togo,162,0.435,2.4,Sub-Saharan Africa
158,Tonga,90,0.704,3.1,Asia & Oceania
159,Trinidad and Tobago,62,0.76,3.2,Americas
160,Tunisia,94,0.698,3.8,Middle East & north Africa
161,Turkey,92,0.699,4.2,OECD
162,Turkmenistan,102,0.686,1.6,Central & Eastern Europe
163,Uganda,161,0.446,2.4,Sub-Saharan Africa
164,Ukraine,76,0.729,2.3,Central & Eastern Europe
165,United Arab Emirates,30,0.846,6.8,Middle East & north Africa
166,US,4,0.91,7.1,OECD
167,Uruguay,48,0.783,7,Americas
168,Uzbekistan,115,0.641,1.6,Central & Eastern Europe
169,Vanuatu,125,0.617,3.5,Asia & Oceania
170,Venezuela,73,0.735,1.9,Americas
171,Yemen,154,0.462,2.1,Middle East & north Africa
172,Zambia,164,0.43,3.2,Sub-Saharan Africa
173,Zimbabwe,173,0.376,2.2,Sub-Saharan Africa
